ibge_id;size
2101301;881
2101350;413
2101400;13142
2101509;2208
2101608;5191
2101707;3047
2101731;569
2101772;148
2101806;1782
2101905;790
2101939;247
2101970;404
2102002;6588
2102036;2677
2102077;445
2102101;1074
2102150;986
2102200;1474
2102309;1583
2102325;2545
2102358;818
2102374;865
2102408;545
2102507;662
2102556;615
2102606;1635
2102705;773
2102754;591
2102804;6442
2102903;1261
2103000;5197
2103109;281
2103125;319
2103158;1168
2103174;8401
2103208;3247
2103257;1464
2103307;4361
2103406;976
2103505;1981
2103554;733
2103604;2264
2103703;1257
2103752;336
2103802;358
2103901;318
2104008;452
2104057;2719
2104073;1473
2104081;5087
2104099;3691
2104107;1854
2104206;695
2104305;720
2104404;884
2104503;446
2104552;616
2104602;817
2104628;373
2104651;1144
2104677;1037
2104701;271
2104800;8864
2104909;480
2105005;1714
2105104;1125
2105153;369
2105203;346
2105302;1369
2105351;1239
2105401;1479
2105427;3582
2105450;591
2105476;1963
2105500;1135
2105609;703
2105658;565
2105708;1240
2105807;329
2105906;623
2105922;1513
2105948;221
2105963;744
2105989;1066
2106003;322
2106102;3597
2106201;472
2106300;433
2106326;636
2106359;1403
2106375;761
2106409;549
2106508;411
2106607;2107
2106631;795
2106672;634
2106706;8521
2106755;341
2106805;688
2106904;1246
2107001;1489
2107100;1713
2107209;542
2107258;743
2107308;977
2107357;2453
2107407;695
2107456;200
2107506;127
2107605;532
2107704;531
2107803;3240
2107902;1358
2108009;1635
2108058;980
2108108;1169
2108207;262
2108256;1754
2108306;801
2108405;399
2108454;825
2108504;268
2108603;1513
2108702;545
2108801;689
2108900;990
2109007;1417
2109056;249
2109106;772
2109205;356
2109239;438
2109270;726
2109304;331
2109403;1335
2109452;80
2109502;6373
2109551;733
2109601;648
2109700;2479
2109759;623
2109809;2191
2109908;787
2110005;4837
2110039;1010
2110104;1435
2110203;757
2110237;932
2110278;1585
2110302;771
2110401;931
2110500;458
2110609;1007
2110658;961
2110708;1152
2110807;2032
2110856;746
2110906;2280
2111003;650
2111029;910
2111052;2054
2111078;1438
2111102;1483
2111201;180
2111250;354
2111300;583
2111409;909
2111508;783
2111532;720
2111573;980
2111607;3522
2111631;419
2111672;227
2111706;393
2111722;442
2111748;426
2111763;739
2111789;1165
2111805;3115
2111904;1074
2111953;864
2112001;4383
2112100;1487
2112209;1765
2112233;292
2112274;271
2112308;3369
2112407;2592
2112456;1508
2112506;1566
2112605;1706
2112704;1959
2112803;1167
2112852;1189
2112902;717
2113009;1193
2114007;2140
2200053;1280
2200103;112
2200202;97
2200251;536
2200277;244
2200301;1738
2200400;958
2200459;2132
2200509;1155
2200608;223
2200707;338
2200806;646
2200905;821
2200954;316
2201002;683
2201051;1691
2201101;1218
2201150;7809
2201176;263
2201200;1723
2201309;2168
2201408;159
2201507;1589
2201556;499
2201572;244
2201606;935
2201705;1225
2201739;581
2201770;337
2201804;262
2201903;5469
2201919;523
2201929;289
2201945;270
2201960;880
2201988;2267
2202000;689
2202026;2437
2202059;609
2202075;514
2202083;271
2202091;467
2202109;784
2202117;658
2202133;312
2202174;478
2202208;1681
2202251;2163
2202307;4326
2202406;570
2202455;1134
2202505;1611
2202539;471
2202554;499
2202604;2379
2202653;491
2202703;1294
2202711;310
2202729;325
2202737;485
2202752;431
2202778;948
2202802;825
2202851;1915
2202901;3048
2203008;1203
2203107;1846
2203206;2345
2203230;3157
2203255;346
2203271;755
2203305;217
2203354;1017
2203404;219
2203420;849
2203453;3870
2203503;1384
2203602;1090
2203701;909
2203750;713
2203800;947
2203859;223
2203909;3410
2204006;269
2204105;656
2204154;177
2204204;492
2204303;778
2204352;441
2204402;3495
2204501;1024
2204550;3118
2204600;224
2204659;134
2204709;978
2204808;529
2204907;801
2205003;828
2205102;2554
2205151;1334
2205201;865
2205250;510
2205276;651
2205300;1867
2205359;1800
2205409;740
2205458;166
2205508;1538
2205516;935
2205524;1284
2205532;1272
2205540;68
2205557;395
2205565;1330
2205573;156
2205581;427
2205599;805
2205607;1089
2205706;1075
2205805;704
2205854;177
2205904;1619
2205953;140
2206001;677
2206050;530
2206100;226
2206209;1394
2206308;93
2206357;1309
2206407;568
2206506;401
2206605;2418
2206654;2210
2206670;328
2206696;481
2206704;1316
2206720;365
2206753;356
2206803;358
2206902;526
2206951;445
2207009;2702
2207108;183
2207207;279
2207306;401
2207355;987
2207405;2024
2207504;1499
2207553;433
2207603;3429
2207702;436
2207751;643
2207777;803
2207793;431
2207801;1941
2207850;1091
2207900;1545
2207934;870
2207959;910
2208007;577
2208106;4563
2208205;1947
2208304;2369
2208403;1409
2208502;253
2208551;1169
2208601;199
2208650;1285
2208700;2468
2208809;1251
2208858;2222
2208874;1012
2208908;3979
2209005;636
2209104;583
2209153;979
2209203;5285
2209302;1187
2209351;111
2209377;340
2209401;385
2209450;34
2209500;852
2209559;656
2209609;627
2209658;1072
2209708;1341
2209757;1385
2209807;150
2209856;481
2209872;817
2209906;997
2209955;395
2209971;213
2210003;1528
2210052;319
2210102;1287
2210201;373
2210300;291
2210359;673
2210375;218
2210383;446
2210391;813
2210409;4988
2210508;518
2210607;2416
2210623;894
2210631;3152
2210656;1031
2210706;1076
2210805;1360
2210904;762
2210938;206
2210953;1587
2210979;399
2211001;1391
2211100;1173
2211209;8412
2211308;1334
2211357;451
2211407;237
2211506;342
2211605;222
2211704;270
2300101;181
2300150;130
2300200;842
2300309;2254
2300408;2439
2300507;136
2300606;73
2300705;1346
2300754;1175
2300804;260
2300903;544
2301000;480
2301109;1227
2301208;644
2301257;342
2301307;1097
2301406;120
2301505;1068
2301604;1155
2301703;886
2301802;146
2301851;1081
2301901;608
2301950;260
2302008;711
2302057;386
2302107;314
2302206;1597
2302305;842
2302404;2835
2302503;655
2302602;1120
2302701;1083
2302800;3032
2302909;227
2303006;926
2303105;756
2303204;634
2303303;1036
2303402;363
2303501;838
2303600;488
2303659;784
2303709;1223
2303808;730
2303907;237
2303931;815
2303956;296
2304004;750
2304103;2981
2304202;1138
2304236;696
2304251;336
2304269;471
2304277;363
2304285;79
2304301;531
2304350;569
2304400;312
2304459;285
2304509;210
2304608;230
2304657;259
2304707;2663
2304806;112
2304905;156
2304954;256
2305001;625
2305100;91
2305209;927
2305233;161
2305266;879
2305308;414
2305332;424
2305357;421
2305407;1866
2305506;992
2305605;3222
2305654;705
2305704;277
2305803;626
2305902;1483
2306009;839
2306108;1466
2306207;214
2306256;154
2306306;432
2306405;1600
2306504;593
2306553;715
2306603;830
2306702;1827
2306801;623
2306900;1877
2307007;854
2307106;545
2307205;368
2307254;209
2307304;259
2307403;940
2307502;945
2307601;745
2307635;998
2307650;105
2307700;584
2307809;574
2307908;303
2308005;568
2308104;1079
2308203;152
2308302;579
2308351;502
2308377;709
2308401;613
2308500;2116
2308609;893
2308708;2764
2308807;414
2308906;412
2309003;192
2309102;98
2309201;283
2309300;737
2309409;947
2309458;763
2309508;578
2309607;250
2309706;133
2309805;112
2309904;88
2310001;437
2310100;129
2310209;305
2310258;289
2310308;2314
2310407;539
2310506;1302
2310605;151
2310704;1380
2310803;436
2310852;74
2310902;590
2310951;244
2311009;1311
2311108;225
2311207;343
2311231;409
2311264;1042
2311306;2021
2311355;605
2311405;3325
2311504;613
2311603;248
2311702;373
2311801;1611
2311900;1381
2311959;806
2312007;973
2312106;855
2312205;4262
2312304;351
2312403;843
2312502;279
2312601;123
2312700;957
2312809;425
2312908;2068
2313005;1536
2313104;849
2313203;2015
2313252;413
2313302;4011
2313351;759
2313401;910
2313500;929
2313559;201
2313609;424
2313708;263
2313757;316
2313807;99
2313906;698
2313955;179
2314003;830
2314102;1311
2400109;608
2400208;1303
2400307;576
2400406;51
2400505;381
2400604;128
2400703;191
2400802;742
2400901;245
2401008;1602
2401107;343
2401206;115
2401305;897
2401404;247
2401453;826
2401503;153
2401602;301
2401651;254
2401701;122
2401800;62
2401859;226
2401909;261
2402006;1229
2402105;214
2402204;245
2402303;1096
2402402;246
2402501;518
2402600;725
2402709;394
2402808;186
2402907;117
2403004;296
2403103;864
2403202;114
2403251;124
2403301;126
2403400;265
2403509;136
2403608;141
2403707;269
2403756;323
2403806;505
2403905;182
2404002;63
2404101;341
2404200;192
2404309;1130
2404408;125
2404507;258
2404606;312
2404705;374
2404804;127
2404853;204
2404903;133
2405009;55
2405108;443
2405207;305
2405306;171
2405405;189
2405504;254
2405603;331
2405702;368
2405801;715
2405900;88
2406007;118
2406106;934
2406155;45
2406205;106
2406304;118
2406403;112
2406502;176
2406601;79
2406700;677
2406809;130
2406908;31
2407005;167
2407104;510
2407203;775
2407252;32
2407302;346
2407401;169
2407500;132
2407609;135
2407708;82
2407807;211
2407906;72
2408003;2099
2408102;167
2408201;308
2408300;278
2408409;141
2408508;253
2408607;81
2408706;383
2408805;231
2408904;514
2408953;151
2409100;42
2409209;41
2409308;319
2409332;220
2409407;260
2409506;221
2409605;295
2409704;953
2409803;193
2409902;419
2410009;83
2410108;230
2410207;110
2410256;361
2410306;218
2410405;504
2410504;78
2410603;100
2410702;127
2410801;128
2410900;263
2411007;155
2411056;169
2411106;126
2411205;624
2411403;1425
2411429;188
2411502;301
2411601;289
2411700;191
2411809;404
2411908;76
2412005;250
2412104;277
2412203;290
2412302;341
2412401;175
2412500;166
2412559;431
2412609;240
2412708;195
2412807;469
2412906;863
2413003;198
2413102;152
2413201;26
2413300;97
2413359;620
2413409;562
2413508;193
2413557;122
2413607;158
2413706;213
2413805;124
2413904;353
2414001;339
2414100;224
2414159;69
2414209;103
2414308;135
2414407;754
2414456;269
2414506;214
2414605;873
2414704;73
2414753;72
2414803;84
2414902;38
2415008;48
2500106;242
2500205;352
2500304;322
2500403;128
2500502;111
2500536;310
2500577;223
2500601;184
2500700;476
2500734;122
2500775;291
2500809;232
2500908;91
2501005;247
2501104;269
2501153;114
2501203;36
2501302;376
2501351;132
2501401;103
2501500;256
2501534;50
2501575;375
2501609;781
2501708;610
2501807;28
2501906;100
2502003;602
2502052;57
2502102;169
2502151;469
2502201;47
2502300;186
2502409;227
2502508;373
2502607;197
2502706;26
2502805;401
2502904;94
2503001;151
2503100;469
2503209;30
2503308;193
2503407;213
2503506;165
